,annot,count
2483,underlying slow?,6
29567,eyes open ,6
49956,TIRDA,6
12954,head on LT side,6
35843,good effort in HV,6
54322,R FOOT JERK,6
31669,ekg contam noted,6
22779,R AND L F-T SLOW,6
13669,HEAD OVT,6
11560,NO OTHER RESPONSE,6
16186,ARTIFACT IN C4,6
31653,eye mvmnts,6
19085,TECH TURNED ON LIGHT,6
9240,LEFT LEG TWITCH,6
3373,PT LYING ON BACK,6
14910,TIRED,6
3565,EYES ARE OPEN LOOKING AT ONE SPOT,6
5079,pt scratches face,6
5078,pt had great effort during HV,6
3509,EYES OPENING SLIGHTLY,6
3506,HEAD SLIGHTLY LT EYES CLOSED,6
5156,C3 SPIKES,6
17148,pt closes eyes,6
12605,HOW ARE YOU FEELING?,6
11612,HEAD IS SLIGHTLY RT,6
29686,EYE MOVTS AGAIN,6
16093,RIGHT SHOULDER TWITCH,6
25900,JAW MOVEMENT,6
15685,MOVING LEFT ARM,6
42565,TECH CLAPS TO ALERT PT,6
24828,um,6
22740,TRIPHASIC MORPH,6
67416,RAPID BREATHS,6
13534,"HEAD MIDLINE, SUPINE, EYES OPEN, AWAKE",6
44650,REMOVIG PS LAMP,6
34519,OOPS,6
10886,RIGHT ARM TWITCHING,6
16097,ask pt to close eyes,6
22039,HAS TO GO TO BATHROOM,6
27354,? LT TEMP,5
43135,MORE RELAXED,5
7701,PT LIFTS HEAD UP,5
28131,SENS AT 15,5
28147,P,5
4138,SCRATCHES HEAD,5
10548,GEN S+W?,5
18852,awake ec head midline,5
34351,TECHNICAL ERROR,5
19904,LIGHTS ON AGAIN,5
23362,RT F-C-T,5
14514,EYES CLOSED DURING PHOTIC,5
1359,TECH TOUCHES PT'S RT HAND,5
30783,YELLOW CAT,5
31514,ASK PT IF COMFORTABLE,5
18368,HEAD BACK ON PILLOW,5
15529,SENS 10 AGAIN,5
16142,PT STARING,5
27357,HEAD LEFT SLIGHTLY,5
2882,P4 T6,5
1097,VERY LABOURED BREATHING,5
28421,HEAD RT EYES OPEN,5
11576,RIGHT FRONTO TEMP,5
1920,ABBOTFORD,5
9935,TECH TOUCHING F7,5
52561,starting again,5
9435,left central temporal spikes,5
28107,L HAND,5
27154,TECH TOUCHING T6,5
55642,CODE WORD,5
33261,POSTS?,5
18346,NCC NOTED BY TECH,5
61404,yellow cat,5
32049,GEN DYS VS DROWSINESS,5
16326,PT ASLEEP AGAIN,5
50921,BUILDUP++,5
37126,LT CENTRAL SLOW,5
11328,notch=off,5
43661,PT RUBBING EAR,5
106,DAMP ROLL OF CLOTH OVER EYES,5
26644,SPELL #2,5
16040,TECH ASKS PT TO OPEN EYES,5
10459,MAONING,5
7729,LOTS OF EM,5
4183,GLOSSOKINETIC,5
4184,MOVING TONGUE,5
27170,PT IS VERY RESTLESS,5
8906,PT COUTNING,5
2991,EXTREMELY DROWSY,5
45417,PT CLOSES EYES HERE,5
6188,L TEMP/POST-TEMP SLOW,5
21786,INDEP BI-F-T DELTA,5
20463,head right ,5
93205,O1 NOT WORKING,5
6419,R HEMI SLOW WITH F-T MAX,5
4158,TELL PT HE CAN RELAX WITH EYES CLOSED AN,5
10444,SNROING,5
43792,EYES ARE FLUTTERING,5
61201,RT F-T DYS,5
31616,HEAD OFF PILLOW,5
20620,head sl left,5
3019,EEG SNS 20,5
15974,REMOVE LAMP,5
3503,TREMOR OF LEFT ARM,5
17076,HEAVY BREATHING AGAIN,5
12949,coma ,5
34359,RESP ARTIFACT IN O1,5
6520,L POST,5
27134,COUNTING BACKWARDS FROM 100 BY 5,5
26484,?T4-T6 SPIKE,5
6524,RIGHT POST TEMP SLOW,5
9953,FIXING A1,5
26489,R F- TSLOW,5
37054,BODY J,5
45079,TUNING FORK APPLIED TO FOREHEAD,5
12361,ASK PT IF SOMETHING WRONG,5
36235,RT HAND HITTING MATTRESS,5
4081,SLOW?,5
9873,right posterior,5
25244,F7/T3,5
20287,going to alert,5
10400,HEAD SLIGHTLY LT EEG SENS 10,5
6526,RT POST SLOW,5
7653,FIXING T5,5
13289,PT OPENS EYES AND MOVES HEAD,5
14157,GEN S+W  ?PS+W,5
7112,AWAKE EC HEAD MIDLINE EEG SENS 5,5
28046,ROCKING HEAD BACK AND FORTH,5
7113,DROWSY EC HEAD MIDLINE - EEG SENS 5,5
3051,VOCALIZE,5
46872,ASK DATE TODAY,5
12300,location,5
15427,NO BREATH SOUNDS,5
12360,EEG SE NS 7,5
59219,BI FRONTAL BETA,5
12288,LT TEMP?,5
6534,birhtyda?,5
50861,RT T SLOW,5
21073,R FRONTAL DYS,5
43958,LEFT FRONTOTEMP THETA,5
1434,TOO MUCH MUSCLE ARTIFACT,5
30836,PT SHIVERS,5
35132,EYEBROW MVT,5
25256,PT LIFTED HEAD OFF BED,5
36599,sway,5
54880,ASKING PT TO OPEN MOUTH,5
88583,ELBOWS EXTENDED,5
36598,t5 popping,5
27372,L CENTRAL SLOW,5
21780,60 HZ NOTCH IN,5
11262,HV ENDS,5
7122,LT RMTD,5
43600,movement with respiration,5
35345,L SIDE THETA,5
330,RESPIRATION ARTIFACT,5
15235,left temp delta,5
46238,KICKS,5
56534,EYELID FLUTTER CONTINUES,5
33287,PINK,5
4098,WILL PRESS CZ,5
41897,LIGHTS ON TO HELP PT WAKE UP,5
4097,BITEMP VS DROWSY,5
50546,LIGHTS ARE ON NOW,5
41728,T5 SWEAT ARTIFACT,5
59332,rf,5
19234,NOT COOPERATING,5
33289,RT > LT,5
115,DAMP CLOTH OVER EYES,5
9424,PT FALLIGN ASLEEP,5
4383,UNRESPONSIVE EC HEAD MIDLINE,5
1367,RELEASED EYES,5
12673,R>L BURST,5
83798,bi-occipitals sharply contoured,5
6166,"Montage:TRANSVERSE BIPOLAR, AUX1",5
88582,ELBOWS EXTENDING,5
1808,STILL ARTIFACT,5
21821,SOME BUILD UP,5
68205,EMG?,5
25368,EC - HEAD MIDLINE - LIGHT SLEEP,5
12281,TECH AWAY,5
54157,LFF=1 HFF=70,5
18269,SHIFTS LEGS,5
10507,GEN S/W,5
73206,LOOKING FAR LEFT,5
28317,head slightly to left,5
7845,EYES CLOSED BRIEFLY,5
1045,TIME,5
19698,75,5
2895,POSTERIOR SLOW,5
11288,EMG ARTIFACT,5
33174,DROWSY EC HEAD RIGHT EEG SENS 7,5
17101,SNORING QUIETLY ,5
12392,WILL NUDGE PT,5
44097,ASK PT IF SHE HEARS ME,5
41160,ORANGE,5
33150,PRESSED ON EKG,5
13032,ENC SPEED,5
30557,PACEMAKER,5
18284,PRESSED ON C3,5
10140,Electrode arts,5
31570,sens remains 1-,5
31626,WAVING ARMS,5
11295,POST HV 90 SEC,5
26558,SLIGHT INCREASES,5
18275,EYES OPEN HERE,5
3457,NOTCH IN THEN OUT,5
11292,HV END,5
45452,RECORDING ON SENS 70,5
46633,EYES ROLLING UP,5
27291,PT IS ASLEEP,5
7795,Mumbling,5
39510,T4 ?SSS,5
19697,95,5
33606,WAITING FOR SLEEP,5
7214,PRESSING O2,5
2900,DOB? ,5
11277,L RMTD?,5
46021,encourage relax,5
3442,CORRECT?,5
9890,LOUD DRILLING,5
19785,light snores,5
42245,TECH ASKED PT TO CLOSE EYES,5
13037,EMG IN RT TEMP,5
52540,WILL RAISE HEAD OF BED,5
6221,tech touching,5
33637,DOES NOT KNOW,5
87041,PT CONTINUES TO CRY,5
26518,CALLING PATIENTS NAME,5
34489,LT F-C-T,5
20381,?L F-T SHARP,5
59905,LYING ON L SIDE,5
16217,EYES OPEN AND CLOSE SPONTANEOUSLY,5
1386,PT SAYS HE IS TIRED,5
21025,L F-T ?SHARP,5
58582,POLY SPIKE FRAGMENT,5
33163,DROWSY EC HEAD SLIGHTLY RIGHT EEG SENS 7,5
30567,RTEMP SHARPLY CONTOURED,5
17426,HOW OLD ARE YOU?,5
10147,NYSTAGMUS,5
33161,AROUSE PT,5
3452,RESTARTING PHOTIC,5
4313,GEN THETA - DROWSY,5
28350,sen7,5
34863,TECH CALLING PT NAME,5
3453,TECH TELLS PT HE CAN REST WITH EYES CLOS,5
23250,RT F-T SLOW?,5
8831,ASLEEP SNORING,5
1844,EYE MOVT SEEN,5
20758,C3??,5
43786,R WICKET,5
11777,LYING QUIETLY AND STILL,5
10159,P3 P4,5
30542,REAPPLY,5
1339,EEG SENS 3 NOW,5
7231,PT UNCOMFORTABLE,5
9296,FIXING F7,5
23300,EYE MVMNT,5
7230,YAWING,5
4357,sesn 7,5
14282,L F-T SHARP,5
37158,ASK TO RELAX FOREHEAD,5
24596,TECH PUT A BLANKET ON PT,5
50942,CITY ,5
23296,NORMAL BREATHING,5
4230,TALKING TOPT,5
31640,EMG LT,5
12540,TECH DESCRIBING PHOTIC,5
12384,HEAD LEFT  EEG SENS 15,5
24853,WILL CHECK ON T5,5
24007,SLEMS,5
3431,fixed,5
27336,blowing nose,5
26611,FRONTAL MAX DYS,5
38889,TECH FXING ELECTRODE,5
24825,pt tense,5
38883,HEAD MVMT WITH DEEP BREATH,5
17116,REPEAT 18 HZ,5
419,TELL PT SHE CAN REST WITH EYES CLOSED NO,5
30736,RT TEMP SLOW?,5
2968,DRILLING UPSTAIRS,5
59371,still sucking thumb,5
11324,GOOD EFFORTS,5
53567,LEG MVT,5
37031,WILL CHECK A1,5
74036,FINGERS ARE TAPPING,5
54902,R SPH,5
9909,EXT NOISE,5
37178,RESTING QUIELTY,5
14560,PT EYES OPEN,5
91492,Rt eye open,5
91494,Lt eye closed,5
16029,COMPLETE CORRECT,5
34579,R F-T ?SSS,5
7276,TECH PROMPTS PT,5
12293,CHICKEN,5
8862,TECH ASKING PT QUESTIONS,5
57866,RT F-T ?WICKETS,5
31562,TEMP DELTA,5
37184,SNOREING,5
8860,FIXING WIRE,5
64134,FP2 SPIKE?,5
13367,diffuse,5
14116,GET PT TO COUNT BACKWARDS FROM 100 BY 7S,5
27268,PT CLOSES,5
12676,SHARPLY CONTOURED BURST,5
39490,Trying to get pt to open eyes,5
12871,PT DONE COUTNING,5
44177,slowing continues,5
6202,ONGOING EMG,5
20243,ASK PT NOT TO SCRATCH HEAD,5
54620,GEN SLOW - DUE TO DROWSINESS?,5
58594,PT MURMURING WITH FINGERS IN MOUTH,5
36150,EMG IN RT FRONTAL,5
36556,wiggling,5
11310,16TH,5
3426,F8-T4 SPIKES,5
7762,EFFORT DIMINISHING,5
11586,ATTEMPT HV,5
20364,LIGHT BREATHING,5
27547,PT OPENS EYSE,5
10387,PT LAYING ON LEFT SIDE,5
3207,ASLEEP????,5
33450,ALL FINISHED NOW ,5
39676,stuporous,5
89918,GEN'D S+W,5
7475,ARTIFATC,5
50889,scratches his head,5
15995,RPT,5
24763,GEN DELTA FRONTAL MAX,5
36380,RIGHT TEMPORAL,5
34999,PT NOT COOPERATING,5
31182,TEETH CHATTERING,5
18524,ASK PT AGAIN,5
31389,LT F-C,5
3202,EYES LOOKING AROUND,5
3200,PRESSING ON C3,5
3811,EEG AT SENS 10,5
6814,WHICH HOSPITAL,5
46147,HEAD MVTS ,5
42896,STRETCH MOUTH,5
3236,pt opens eyes,5
6990,CAPITOL OF BC?,5
35183,"EYES CLOSED, INTERM DROWSY",5
13639,rt touching pt,5
27684,Asking pt to relax jaw,5
31232,GOODE FFORT,5
3231,REMOVE NECK ROLL,5
42012,EMG IN LT TEMP,5
53774,PT TRYING TO GET COMFORTABLE,5
18771,PHOTIC PAUSED,5
14345,LATERAL EYE MVT,5
3774,INSECT,5
34413,head on RT side,5
3217,VERY SHALLOW BREATHING,5
27707,PT DOESNT KNOW,5
64910,HEAD SLIGHTLY RIGHT - EEG SENS 7,5
6997,A1 ELECTRODE ARTIFACT,5
15315,kicking legs,5
31172,BODY JERK = J,5
23550,VOICES IN ROOM,5
45116,posts,5
35166,RESPIRATORY MOVEMENTS,5
39768,P4 RESP ARTIFACT,5
51879,LFF=3HZ,5
43032,PZ SPIKES,5
25089,EFFORT,5
39185,PZ??,5
36857,thurs,5
1494,EYES CLOSED CRYING,5
22211,WHOLE BODY JERK,5
36439,PAINFUL STIM - RT FOOT NAILBED,5
62260,? MUSCLE,5
1624,RESP = R,5
25094,PT SAYS SHE FEELS DIZZY,5
41809,EC BRIEFLY,5
13411,PT JERKED AWAKE,5
49129,01 ARTIFACT,5
3854,HEAD MIDLINE EYES CLOSED,5
15441,TECH TOUCHING HEADBOX,5
31138,VENT ARTIFACT,5
1605,9HZ?,5
41811,HEAD TURNS TO RIGHT,5
33727,WILL CHECK,5
7487,CZ POP,5
41816,HEAD ALL THE WAY RIGHT,5
13628,TECH PUT ANOTHER BLANKET ON PT,5
179,HC,5
17258,T6-O2 SPIKE,5
24957,MUMBLING ,5
7016,LFF 1,5
83036,PASSIVE EC BEGINS,5
18778,R TEMP WICKETS,5
27745,pt had good effort in hV,5
51035,MOUTH TWITCH,5
42040,noises outside,5
54707,PROPOFOL STARTED AGAIN,5
21117,MOVING EYES,5
20320,60 HZ IN CZ,5
3311,closed,5
39162,PT MVMT,5
11656,eys open,5
199,MOM TOUCHING FACE,5
25007,PT RELAXES JAW,5
14361,EYE SLIGHTLY OPEN,5
17201,ASK PT TO OPEN MOUTH AGAIN,5
63521,c4 pop,5
6926,AUDITORY STIM,5
31306,GEN S/W DISCH,5
31734,SET UP LAMP,5
39311,DELTA L>R,5
88507,did not pull away,5
19349,? S+W,5
7418,ENC TO RELAX ,5
3271,HOW MANY HRS OF SLEEP? ,5
27032,LEFT EYE TWITCHING,5
18585,LT TEMP THETA ,5
25017,walking,5
3285,ABBOTSFORD HOSPITAL ,5
39312,LT SHARPLY CONT BURST,5
23845,SLEEP DEPR'D,5
11492,FRONTAL BETA,5
34521,MOVT OF FEET,5
53818,REMINDING PT TO KEEP EYES CLOSED,5
9343,91,5
25002,RT F-T SSS,5
10069,LT F-C SLOW,5
11651,spelling name,5
22172,HAMSTER,5
10232,BI-F-T SLOW IN HV,5
17195,TECH FIXING PHOTIC,5
64895,e/o,5
3302,head rolling,5
21206,"HEAD MIDLINE, EYES CLOSED, AWAKE",5
3687,left temp slow,5
34522,eeg ens 7,5
44512,PRESS FP2,5
27544,HEAD SLIGHTLY LT EEG SENS 7,5
1567,RT TEMP ?WICKET,5
46260,COVERS FACE,5
17060,no changes,5
3649,PT COLD,5
9158,GEN DYS 2-3,5
7443,PT COUNTING SLOWLY,5
17051,pt says ok,5
1513,LFF 1 HFF 70,5
46663,FIRDA?,5
14220,HFF STILL 30,5
20328,ENCUORAGE TIME,5
17228,PT TOUCHING LEOG,5
36417,PT MOVING ARMS,5
27660,Pt lying on left side,5
10049,BACKGROUND 8-9HZ,5
36768,RT MAX DELTA,5
3648,IN WHEELCHAIR,5
15463,PT IS FALLING ASLEEP,5
6860,TECH REPLACING O2,5
61251,JERKING STOPPED,5
34517,INDEP RT,5
39267,PHOTIC LAMP IN PLACE,5
27037,RIGHT ARM,5
10263,RN AT BEDSIDE,5
20340,POUTING,5
39291,good overall effort,5
55147,tech asking pt to open and close eyes,5
26983,RT>LT SLOW,5
7433,moving arm,5
17212,DROWSY EYES CLOSED,5
12252,send 7,5
25022,jogging,5
14376,count fingers,5
17215,LAYING STILL,5
36740,TECH CHECKING P3,5
27628,PTT ALKING,5
22188,? ARTIFACT,5
74302,GOOD EFFORT CONTINUES ,5
23587,WILL PRESS ON F3,5
46257,EYSE ARE CLOSED,5
54751,TECH MOVING NECK ROLL,5
11376,THURS,5
26806,10 PDR,5
8998,PLAYING WITH HANDS,5
23795,PT OPENED EYES THEN CLOSED,5
18613,R > L F-T SLOW,5
24899,PT STILL MOANING,5
39836,pt had good effort during HV,5
17307,emg+++,5
41939,PT SAYS HE DOESN'T KNOW,5
9226,ASK TO SQUEEZE,5
9307,GEN THETA WITH EO,5
81575,EC - HEAD LEFT - COMA,5
6607,RESTING WITH EYES CLOSED,5
55446,L TEMP WICKETS,5
7608,tech pressing,5
3080,STOPS ROCKING,5
4019,WILLL SET UP PHOTIC,5
47867,WATCHING PHONE,5
16535,SPON EO,5
31929,TRY TO CALM PT,5
11407,TLAKING,5
39827,RIGHT POST TEMP SLOWING,5
10204,PROPOFOL AT 50,5
30966,HEAD TREMOR CONTINUES,5
3107,PT LYING WITH HEAD LEFT,5
11626,MIDLINE,5
9009,MOVE MOUTH,5
34548,GEND SLOW W BI-F MAX,5
59977,IV ALARM GOES OFF,5
39059,moving arms a lot,5
61222,DAMP CLOTH OVER EYES TO REDUCE EYE MOVTS,5
7589,HEAD L  EC,5
9216,ASKING TO SQUEEZE,5
16404,drowsiness R>L,5
25178,RIGHT HAND STIM,5
17072,BREATHING AGAIN,5
33348,COUGHED,5
9217,ASKING TO SQUEEZE HAND,5
73093,SLIGHT SHAKING OF HEAD AND SHOULDERS,5
25210,FIGHTING,5
7610,LTEMP SHARP?,5
12185,APPEARS TO BE SLEEPING LIGHTLY,5
6565,RIGHT HANDED ,5
22078,EYES SPONT CLOSE,5
3062,ROCKING BODY,5
77630,DELTA LT,5
28019,LIGHTS OFF AGAIN,5
74130,passive eye opening,5
43833,HFF=70HZ,5
21280,build up?,5
7611,L SHARP?,5
26764,>,5
22289,no HV due to pt age,5
6551,light sleep?,5
16408,continues,5
16982,PT STARTING TO SOB,5
45355,NO ASSOCIATED EPILEPTIFORM,5
22015,D/C EKG SENS,5
39328,sss?,5
16448,SITTING UPRIGHT,5
10092,?c4 spike,5
35320,L>R SLOWING,5
11389,RUBBING EAR,5
22284,RT TMEP,5
18435,FIXING EOG,5
1312,PT TOUCHING ELECTRODE,5
6586,TECH PRESSING ON A1,5
30913,BIG YAWN,5
15512,ALARM GOING OFF,5
28001,NODS YES,5
4030,WILL ATTEMPT PS,5
6579,SENS15 ,5
11385,GEN SPIKE WAVE,5
39437,PT ALERTS AND OPENS EYES,5
42115,AGE,5
43929,LIGHTS DIMMED,5
17132,pt alert,5
62449,FAIR EFFORT DUE TO DROWSINESS,5
27937,WILL REPEAT 9 HZ,5
10309,SWAY,5
31031,SQUINTING EYES,5
15287,shivering,5
46678,TECH REPEATS REQUEST,5
24922,EYEY MOVEMENT,5
66995,LEFT F/C/T/ DYS,5
9202,C4-P4 SHARP?,5
36628,RIGHT ARM MOVT,5
18605,HEAD SLIGHTLY RIGHT EEG SENS 10,5
53704,CLEAR THROAT AND MOVT,5
39131,EKG AT A1,5
11709,counting to ten,5
3919,eyesopen,5
61293,OPEN EYES?,5
36935,LOUD CLAPPING TRYING TO WAKE PT,5
33711,head is midline,5
33548,relax jaw and forehead,5
10209,EMU,5
31050,TART PS,5
1664,A LOT OF EYE MVT,5
15269,GEN SLOW WITH EO,5
22226,SCRATCHES NOSE,5
79559,SPIKE/POLYSPIKE AND WAVE,5
33403,F-T SLOW,5
24930,R > L,5
17164,sens 15Uv/MM,5
14421,JAW TENSION,5
3155,RIGHT FT,5
34982,SOME DRIVING,5
18488,QUIVER,5
31060,RED DOG,5
7536,NOTCH ON EOG,5
20838,HEAVY RESPS,5
16373,EKG 100uV,5
72932,BODY JERK WITH RESTLESS LEGS,5
21088,CRAMPING,5
39387,shaking lt arm,5
9390,WIRES FIXED,5
7051,ASK PT TO RELAX FOREHEAD AND JAW,5
1466,HEAD IS SLIGHTLY LT,5
14435,MUSLCE,5
3116,PT OPENED EYES BRIEFLY THEN CLOSED,5
26834,BIFRONTAL SLOWING,5
11409,NOT HVING,5
27916,BI F-T DELTA,5
68513,left underlying delta,5
36964,FRONTAL,5
23475,SEIZURE ENDS,5
21255,WHEN IS YOUR BD?,5
26829,NOTCH ON R EOG,5
19298,PT COUNTING BY 5 TO 100,5
17296,ASK PT WHAT CITY,5
46975,BLOWING RASPBERRIES,5
72927,RESTLESS LEG,5
27431,BUILDING,5
18609,L T SLOW,5
48469,age?,5
25155,EYES WILL REMAIN CLOSED,5
24913,NOTCH ON SPH,5
12998,HEA DMIDLIEN EC,5
1693,MIDDLE NAME,5
80470,R>L GEND SLOW,5
36456,ASK PT NOT TO TALK,5
12996,sens remains 5,5
9027,ENOCURAGE TIME,5
27871,ASK PT TO WAKE UP,5
63613,NO MOVTS OF ARMS OR LEGS,5
19856,60HZ NOTCH,5
42071,STARING UP,5
7358,k complex,5
36945,63,5
50877,IMPROVED EFFORT,5
1463,ASK PT TO MOVE HEAD BACK TO CENTER,5
46970,Pt very drowsy,5
54819,C4-P4 SPIKE?,5
3932,lightly snoring,5
3573,"EYES CLOSED, AWAKE, SUPINE, HEAD MIDLINE",5
20874,CLOSE EYES,5
49993,ask pt to relax face,5
82939,R TEMP SMALL SHARP SPIKE,5
19171,ALSEEP,5
8638,HEAD TURNING,5
17619,HEAD RELATIVELY MIDLINE,5
2727,?VWAVE,5
2136,ONGOING SHIVERING,5
5037,?BILAT S+W,5
37903,L SHARP,5
16882,LIGHT SLEEP    EEG SENS 7,5
8250,WILL TRY TO KEEP PT AWAKE,5
44352,PT VERY WHEEZY,5
21716,grinds teeth,5
26239,BLIKING,5
30025,UNRESPONSIVE EC HEAD L EEG SENS 7 VENTIL,5
81733,L LEG JERKS,5
32882,TOUCHING CHIN,5
11105,ONGOING SWEAT SWAY,5
29218,HEAD SL RT,5
15611,WILL LEAVE EYES CLOSED,5
17982,pt ,5
5807,CALLING PT NAEM,5
14724,WIGGLING TOES,5
16894,BIRTHDAY ,5
29225,RIGHT SIDE SLOW,5
2524,a1a2 on mastoids,5
555,will explain HV,5
24188,EYE MOV'TS SEEN,5
13575,TOUCHING P4,5
5428,RELAXED,5
42367,L HEMI SLOW WITH F-T MAX,5
20106,EEG SNS 7 NOW,5
78932,PT BECOMING CONFUSED,5
21719,FIXING CAMERA,5
48115,DELTA ,5
50038,TRIPHASIC,5
28792,TRYING TO GET UP ,5
8632,PT IS TALKING TO HUSBAND,5
5031,?SLEEP,5
2532,emg lt,5
35967,HEAD TO R,5
32867,TECH ASKS PT TO REST HEAD DOWN,5
587,T3 POP,5
17977,ASK PT TO LOOK AT PEN,5
43700,HEAD MMVT WITH RESP,5
12848,NO MVT,5
11088,DROWSY ?,5
85560,NIL TO NOTE WITH SHARPS ,5
12833,ASLEEP ?,5
4735,PRESS P3,5
22610,LT HAND TWITCH,5
91795,RT F-C DELTA,5
45809,moving head side to side,5
18093,ask pt to look at one spot on ceiling,5
22611,LT HAND MOVT,5
53267,PT STOPS HV AND STARES,5
5013,DROWSY++++,5
35954,3.5 MIN HV,5
791,PT HEAD CENTER,5
41507,PT NOT WAKING,5
12427,BITEMP ?SSS,5
9718,POST HV 60 SECONDS,5
71109,SISTER TRYING TO CALM PT,5
13492,PT WANTS TO STOP,5
16687,eyes still open,5
17623,PLAYING WITH BEAR,5
11102,TECH TRYING TO CALM PT,5
11094,WILL DO PS AT END,5
8243,LIGHTS,5
32697,RELAXED JAW,5
8468,ENC TO OPEN MOUTH,5
16825,FAIR EFFORT STILL,5
58237,FLUTTERING EYES,5
59675,BI TEMP DYS,5
30094,SLIGHT MOVEMENT,5
40645,O2 REAPPLIED,5
25598,facial twitching,5
53104,PROMPTING,5
57283,HD SLIGHTLY LT,5
24529,resp artifact,5
37497,ASKING PT TO CLOSE HIS EYES,5
8686,left sharp?,5
9540,KEEPING EYES OPEN,5
65037,A-P TRI,5
11909,MUSCLE ARTIFACT ,5
30197,SMALL JERK NOTED BY CARE AID,5
17788,SPONTANEOUSLY,5
5390,31,5
12511,L  F T,5
21647,WILL BEGIN TO ROUSE PT,5
5392,EEL,5
8021,NO REPSONSE,5
10823,HEAD WRAPPED,5
32298,post slow,5
60733,V GOOD EFFORT,5
34274,"all imp good, no change",5
2072,PT SCRATCHING CHEST,5
8445,EEG SEN 10,5
56735,JAW CLENCHING,5
4577,LOOKING AT LIGHT,5
47117,?L F-T SLOW,5
22532,PULLING BLANKET UP,5
43403,anterior slowing,5
8008,START IN FEW SECONDS,5
54501,EYE MOVTS SEEN EYES CLOSED,5
40186,LOOKING AT WATCH,5
11826,EKG ARTIFACT PRSENT,5
14702,TECH MOVE LAMP,5
5378,cry,5
15084,pt responds,5
5904,CHEWING ON TUBES IN MOUTH,5
2099,60hz filter on,5
12510,1X3MIN EXCELLENT EFFORT HV,5
19029,COMPUTER GLITCH,5
10661,NOTCH OFF EKG,5
28749,TRIPHASICS??,5
5853,DROWSY EC HEAD SLIGHTLY RIGHT EEG SENS 1,5
23066,WILL CHECK T6,5
10947,ASLEEP EYES CLOSED HEAD SLIGHTLY LEFT,5
4636,DYS 4,5
44958,ARTIFACT IN A2,5
17592,TIED EARS FOR EKG CONTAM ,5
2518,asking to ec,5
22565,TALKED TO PT,5
32318,L SHARPS?,5
17781,EYES CLOSED SPONTANEOUSLY,5
71331,MOM COUGHS,5
5422,head R,5
34827,PHASE REVERSAL O1,5
33992,lower jaw trembling,5
51478,PT COUNTING WITH MOM,5
21476,LIFTING FOREHEAD,5
25831,CALLING TO PT,5
9805,J = JERK,5
5066,GEN DYS ,5
8024,R P T,5
5396,eog not on,5
12811,EYE MVMTS THROUGHOUT,5
9545,TALKING ABOUT PHOTIC,5
13083,STOPPED COUNTING ,5
19034,HV 1 MIN,5
40655,PT++CONFUSED,5
25832,PT REMAINS ASLEEP,5
15669,MOVEMENT+++,5
17955,sems 10,5
767,GEN R>L,5
38549,START NOW,5
16816,NO HV DUE TO PATIENT'S AGE,5
67580,LPT,5
19163,PT C/O BACK PAIN,5
20185,SENS 10UV/MM,5
11983,WHAT IS YOUR DOB,5
8207,CALING PT,5
29090,BI POST TEMP,5
4927,HEAD ROLLING,5
52836,PROMINENT FRONTAL BUILDUP,5
46382,less annotations here,5
29089,R SPH ARTIFACT,5
5626,asking pt to keep mouth open,5
52886,+++MUSCLE,5
26098,BLINKING SEEN EYES HALF CLOSED,5
5540,TECH TOUCHING P3,5
44901,PLAYING GAME ON PHONE,5
18994,LT F-T SLOW IN HV,5
73487,TECH COUGHS,5
19132,MOM ENCOURAGING PT,5
59013,AROUSAL W SNORT,5
75833,CONTINUES ON R,5
46856,PRESSED ON F3,5
17638,SPINDLES?,5
59493,F7 SPIKE?,5
26141,R F -T SLOW,5
4937,BI-F-T SLOW??,5
4821,ASK PT TO BLOW FASTER,5
29774,SEIZURE,5
4822,PT PAUSES HV,5
11056,INDEPENDENT RT F-T SLOW,5
46378,NOTCH C3,5
32815,PASSIVE EYE CLOSURE BEGINS,5
2279,PT OPENES EYES,5
4828,NO OBVIOUS CLINICAL SIGNS,5
5527,ASK DATE,5
59492,F7 SPIKE??,5
4829,PT OPENED EYES SLIGHTLY,5
90494,LT ARM SHAKING,5
34190,GEN SUPPRESSION,5
25722,right sharp?,5
29019,F-C BETA,5
11015,NAME?,5
17674,intubated,5
2603,GEN DELAT,5
26110,good effrot,5
18011,60hz on,5
14793,keeping eyes closed,5
29850,HFF 15,5
5578,EEG AT SENS 15,5
29822,RT FT DYS,5
63033,SHARP T3-T5,5
5573,NOTCH ON FOR ICU RECORDING,5
11886,WILL TURN ON LIGHTS AND BEGIN ALERTING P,5
8538,RIGHT ARM TWITCH,5
4897,EKG 150,5
14987,TRYING TO KEEP PT AWAKE,5
19123,WILL EXPLAIN PHOTIC,5
29062,WILL KEEP PT ALERT,5
10760,VERY SLEEPY,5
35671,covering eyes,5
11884,RT THEN LT TEMP SLOW,5
2238,ALL IMP GOOD STILL,5
4915,tech fixing pz,5
47532,ELECTROGRAPHIC SZ,5
2616,lays down,5
24435,BRIEF AROUSAL W SNORE,5
22654,FIXING PS,5
4872,TUNING FORK APPLIED,5
4875,TUNING FORK APPLIED AGAIN,5
14789,Y,5
13184,ANSWERING CORRECTLY,5
57144,nice buildup,5
29031,NOTCH ON FP1,5
5553,BILAT SLOW,5
41419,10 HZ,5
15642,sniffs,5
51544,ask DOB,5
41556,PT ASKED TO COUNT TO TEN,5
15647,2+2,5
34652,PARENTS HOLDING PT,5
